customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,Segment
170,100,4,4254.31,1,1,2,112,Lost Customers
171,18,9,9865.380000000001,4,5,5,455,Loyal Customers
172,11,8,10150.14,5,4,5,545,Potential Loyalists
173,15,9,14061.48,4,5,5,455,Loyal Customers
174,11,10,12893.57,5,5,5,555,Champions
175,64,5,6008.03,2,2,3,223,Lost Customers
176,22,5,6733.15,4,2,3,423,Average Customers
177,37,12,11826.34,3,5,5,355,Loyal Customers
178,32,4,3504.09,4,1,1,411,Average Customers
179,40,3,3168.84,3,1,1,311,Average Customers
180,11,7,7970.57,5,4,4,544,Potential Loyalists
181,50,6,5663.9,3,3,3,333,Average Customers
182,13,7,9279.01,5,4,5,545,Potential Loyalists
183,102,6,5947.98,1,3,3,133,Lost Customers
184,32,3,3734.88,4,1,1,411,Average Customers
185,8,7,9254.279999999999,5,4,5,545,Potential Loyalists
186,23,6,5550.85,4,3,3,433,Average Customers
187,14,7,6898.79,5,4,4,544,Potential Loyalists
188,15,6,5126.07,4,3,2,432,Average Customers
189,3,5,8633.69,5,2,4,524,New Customers
190,29,4,3083.07,4,1,1,411,Average Customers
191,105,1,1065.03,1,1,1,111,Lost Customers
192,79,4,3836.29,2,1,2,212,Lost Customers
193,24,5,7368.36,4,2,4,424,Average Customers
194,108,3,4313.530000000001,1,1,2,112,Lost Customers
195,0,7,12479.46,5,4,5,545,Potential Loyalists
196,146,8,6346.61,1,4,3,143,Lost Customers
197,27,9,8456.02,4,5,4,454,Potential Loyalists
198,58,9,11648.85,3,5,5,355,Loyal Customers
199,15,4,4323.860000000001,4,1,2,412,Average Customers
200,7,9,11117.36,5,5,5,555,Champions
201,28,8,9167.380000000001,4,4,5,445,Potential Loyalists
202,18,3,2511.82,4,1,1,411,Average Customers
203,11,5,4376.26,5,2,2,522,New Customers
204,27,8,11444.0,4,4,5,445,Potential Loyalists
205,52,9,6904.88,3,5,4,354,Average Customers
206,77,4,5633.8099999999995,2,1,3,213,Lost Customers
207,279,3,4448.26,1,1,2,112,Lost Customers
208,27,5,5158.98,4,2,2,422,Average Customers
209,107,5,6093.4800000000005,1,2,3,123,Lost Customers
210,22,6,8805.2,4,3,5,435,Average Customers
211,39,9,10073.76,3,5,5,355,Loyal Customers
212,187,2,2429.8,1,1,1,111,Lost Customers
213,28,11,13555.56,4,5,5,455,Loyal Customers
214,56,6,6834.46,3,3,4,334,Average Customers
215,3,8,8485.16,5,4,4,544,Potential Loyalists
216,16,5,5830.97,4,2,3,423,Average Customers
217,4,8,11465.25,5,4,5,545,Potential Loyalists
218,14,5,4232.68,5,2,2,522,New Customers
219,40,7,7915.57,3,4,4,344,Average Customers
220,15,6,7458.69,4,3,4,434,Average Customers
221,18,6,6729.84,4,3,3,433,Average Customers
222,20,2,2626.81,4,1,1,411,Average Customers
223,52,7,9805.5,3,4,5,345,Average Customers
224,1,6,6209.46,5,3,3,533,New Customers
225,37,3,2416.13,3,1,1,311,Average Customers
226,116,2,1639.95,1,1,1,111,Lost Customers
227,26,5,5589.13,4,2,3,423,Average Customers
228,77,5,5178.17,2,2,2,222,Lost Customers
229,60,5,4473.07,2,2,2,222,Lost Customers
230,36,11,11755.6,3,5,5,355,Loyal Customers
231,45,4,5338.64,3,1,3,313,Average Customers
232,141,6,4132.44,1,3,2,132,Lost Customers
233,17,6,5218.62,4,3,2,432,Average Customers
234,11,10,11557.99,5,5,5,555,Champions
235,2,11,9629.61,5,5,5,555,Champions
236,6,4,5255.34,5,1,2,512,New Customers
237,26,8,7156.79,4,4,4,444,Potential Loyalists
238,107,5,5838.6,1,2,3,123,Lost Customers
239,1,9,12986.130000000001,5,5,5,555,Champions
240,88,6,5689.53,2,3,3,233,Lost Customers
241,47,4,3855.87,3,1,2,312,Average Customers
242,131,7,7798.25,1,4,4,144, At Risk
243,74,6,8818.380000000001,2,3,5,235,Lost Customers
244,194,4,6290.66,1,1,3,113,Lost Customers
245,12,5,4855.26,5,2,2,522,New Customers
246,27,9,9724.98,4,5,5,455,Loyal Customers
247,112,7,9778.37,1,4,5,145, At Risk
248,134,7,8902.16,1,4,5,145, At Risk
249,47,9,6569.14,3,5,3,353,Average Customers
250,31,7,9866.27,4,4,5,445,Potential Loyalists
251,38,4,3425.0,3,1,1,311,Average Customers
252,62,5,5565.48,2,2,3,223,Lost Customers
253,17,5,2932.39,4,2,1,421,Average Customers
254,41,7,9801.07,3,4,5,345,Average Customers
255,57,12,14949.91,3,5,5,355,Loyal Customers
256,0,5,5861.16,5,2,3,523,New Customers
257,92,5,7616.05,2,2,4,224,Lost Customers
258,18,5,4816.4,4,2,2,422,Average Customers
259,27,4,5329.9400000000005,4,1,3,413,Average Customers
260,8,9,8587.0,5,5,4,554,Potential Loyalists
261,50,9,9137.67,3,5,5,355,Loyal Customers
262,10,5,4597.37,5,2,2,522,New Customers
263,46,7,7902.84,3,4,4,344,Average Customers
264,48,5,4018.37,3,2,2,322,Average Customers
265,79,4,4809.14,2,1,2,212,Lost Customers
266,32,4,4191.43,4,1,2,412,Average Customers
267,130,4,5029.25,1,1,2,112,Lost Customers
268,69,4,5104.56,2,1,2,212,Lost Customers
269,168,5,5215.37,1,2,2,122,Lost Customers
270,7,7,7413.610000000001,5,4,4,544,Potential Loyalists
271,202,2,2293.0200000000004,1,1,1,111,Lost Customers
272,91,7,7345.17,2,4,4,244, At Risk
273,28,10,11372.24,4,5,5,455,Loyal Customers
274,149,4,2597.6800000000003,1,1,1,111,Lost Customers
275,132,7,8902.17,1,4,5,145, At Risk
276,3,6,6112.08,5,3,3,533,New Customers
277,21,4,4539.22,4,1,2,412,Average Customers
278,248,1,1228.07,1,1,1,111,Lost Customers
279,14,6,3817.17,5,3,2,532,New Customers
280,43,11,12587.58,3,5,5,355,Loyal Customers
281,9,4,3537.46,5,1,1,511,New Customers
282,69,2,2565.84,2,1,1,211,Lost Customers
283,91,6,8380.59,2,3,4,234,Lost Customers
284,133,5,5874.839999999999,1,2,3,123,Lost Customers
285,7,6,6725.29,5,3,3,533,New Customers
286,137,4,6402.0599999999995,1,1,3,113,Lost Customers
287,138,1,2083.94,1,1,1,111,Lost Customers
288,44,4,3936.5699999999997,3,1,2,312,Average Customers
289,44,10,11383.07,3,5,5,355,Loyal Customers
290,11,5,5912.93,5,2,3,523,New Customers
291,40,2,983.55,3,1,1,311,Average Customers
292,58,7,8825.97,3,4,5,345,Average Customers
293,10,5,5175.56,5,2,2,522,New Customers
294,115,7,8719.14,1,4,4,144, At Risk
295,34,7,5956.46,3,4,3,343,Average Customers
296,8,3,4016.36,5,1,2,512,New Customers
297,8,4,5674.71,5,1,3,513,New Customers
298,8,11,12420.52,5,5,5,555,Champions
299,92,7,10296.12,2,4,5,245, At Risk
300,156,5,7003.74,1,2,4,124,Lost Customers
301,93,2,361.78,2,1,1,211,Lost Customers
302,276,2,2024.93,1,1,1,111,Lost Customers
303,43,3,3874.1800000000003,3,1,2,312,Average Customers
304,80,9,7284.7,2,5,4,254, At Risk
305,33,7,6385.26,3,4,3,343,Average Customers
306,123,2,1362.46,1,1,1,111,Lost Customers
307,15,9,9818.0,4,5,5,455,Loyal Customers
308,25,6,7432.02,4,3,4,434,Average Customers
309,9,4,5475.93,5,1,3,513,New Customers
310,8,7,9065.04,5,4,5,545,Potential Loyalists
311,61,6,7559.06,2,3,4,234,Lost Customers
312,13,6,7564.12,5,3,4,534,New Customers
313,17,6,8979.0,4,3,5,435,Average Customers
314,20,8,6264.7300000000005,4,4,3,443,Average Customers
315,27,9,7677.51,4,5,4,454,Potential Loyalists
316,11,4,3813.84,5,1,2,512,New Customers
317,51,5,6692.47,3,2,3,323,Average Customers
318,9,7,9276.07,5,4,5,545,Potential Loyalists
319,71,5,7051.54,2,2,4,224,Lost Customers
320,12,10,11721.06,5,5,5,555,Champions
321,12,5,5405.99,5,2,3,523,New Customers
322,1,12,14782.23,5,5,5,555,Champions
323,35,6,4992.110000000001,3,3,2,332,Average Customers
324,21,5,2711.14,4,2,1,421,Average Customers
325,133,7,9377.09,1,4,5,145, At Risk
326,161,3,3419.08,1,1,1,111,Lost Customers
327,16,5,6108.21,4,2,3,423,Average Customers
328,4,8,5739.53,5,4,3,543,New Customers
329,34,6,5425.24,3,3,3,333,Average Customers
330,107,6,8513.2,1,3,4,134,Lost Customers
331,82,7,8593.36,2,4,4,244, At Risk
332,263,2,1362.46,1,1,1,111,Lost Customers
333,22,7,6422.91,4,4,3,443,Average Customers
334,56,6,6125.9,3,3,3,333,Average Customers
335,24,2,2234.34,4,1,1,411,Average Customers
336,82,5,3711.9500000000003,2,2,1,221,Lost Customers
337,37,6,5855.57,3,3,3,333,Average Customers
338,10,7,8578.51,5,4,4,544,Potential Loyalists
339,58,5,6459.18,3,2,3,323,Average Customers
340,30,8,8079.91,4,4,4,444,Potential Loyalists
341,134,2,3532.9399999999996,1,1,1,111,Lost Customers
342,93,4,2455.7599999999998,2,1,1,211,Lost Customers
343,103,9,10378.0,1,5,5,155,Loyal Customers
344,8,9,11386.87,5,5,5,555,Champions
345,19,7,7446.139999999999,4,4,4,444,Potential Loyalists
346,12,9,8874.36,5,5,5,555,Champions
347,59,7,12360.26,2,4,5,245, At Risk
348,125,6,5562.58,1,3,3,133,Lost Customers
349,166,5,4619.93,1,2,2,122,Lost Customers
350,4,6,4728.13,5,3,2,532,New Customers
351,11,2,2832.11,5,1,1,511,New Customers
352,25,6,8533.27,4,3,4,434,Average Customers
353,23,11,13721.09,4,5,5,455,Loyal Customers
354,67,6,5392.11,2,3,3,233,Lost Customers
355,45,5,4674.02,3,2,2,322,Average Customers
356,61,5,5765.9,2,2,3,223,Lost Customers
357,15,8,8779.220000000001,4,4,5,445,Potential Loyalists
358,70,2,2129.82,2,1,1,211,Lost Customers
359,8,10,8564.63,5,5,4,554,Potential Loyalists
360,8,5,6069.39,5,2,3,523,New Customers
361,146,7,6592.67,1,4,3,143,Lost Customers
362,0,5,3486.48,5,2,1,521,New Customers
363,14,6,11621.14,5,3,5,535,New Customers
364,11,6,6791.39,5,3,4,534,New Customers
365,50,7,8188.29,3,4,4,344,Average Customers
366,115,6,5867.110000000001,1,3,3,133,Lost Customers
367,43,6,7014.01,3,3,4,334,Average Customers
368,13,9,9300.06,5,5,5,555,Champions
369,101,8,9536.35,1,4,5,145, At Risk
370,111,7,7633.95,1,4,4,144, At Risk
371,9,5,6859.8,5,2,4,524,New Customers
372,31,8,6870.42,4,4,4,444,Potential Loyalists
373,223,1,1466.68,1,1,1,111,Lost Customers
374,13,6,7756.64,5,3,4,534,New Customers
375,91,4,3460.33,2,1,1,211,Lost Customers
376,43,3,1981.8899999999999,3,1,1,311,Average Customers
377,6,13,11607.86,5,5,5,555,Champions
378,124,7,5827.91,1,4,3,143,Lost Customers
379,145,2,2849.83,1,1,1,111,Lost Customers
380,35,8,10261.59,3,4,5,345,Average Customers
381,2,8,8019.8,5,4,4,544,Potential Loyalists
382,35,7,6536.92,3,4,3,343,Average Customers
383,51,3,3922.8999999999996,3,1,2,312,Average Customers
384,85,5,5068.24,2,2,2,222,Lost Customers
385,78,9,10758.23,2,5,5,255,Loyal Customers
386,66,5,5445.4400000000005,2,2,3,223,Lost Customers
387,31,3,5303.1,4,1,2,412,Average Customers
388,55,3,2857.55,3,1,1,311,Average Customers
389,113,6,3948.4300000000003,1,3,2,132,Lost Customers
390,76,6,4490.52,2,3,2,232,Lost Customers
391,56,4,3132.87,3,1,1,311,Average Customers
392,101,7,8157.6,1,4,4,144, At Risk
393,146,2,2728.3599999999997,1,1,1,111,Lost Customers
394,45,8,7818.74,3,4,4,344,Average Customers
395,30,7,7802.49,4,4,4,444,Potential Loyalists
396,29,6,6560.6900000000005,4,3,3,433,Average Customers
397,45,6,4641.1,3,3,2,332,Average Customers
398,12,7,4446.48,5,4,2,542,New Customers
399,49,6,7848.56,3,3,4,334,Average Customers
400,134,5,4266.01,1,2,2,122,Lost Customers
401,29,7,7478.68,4,4,4,444,Potential Loyalists
402,56,6,8148.22,3,3,4,334,Average Customers
403,56,6,6122.63,3,3,3,333,Average Customers
404,18,9,9330.26,4,5,5,455,Loyal Customers
405,14,6,7468.88,5,3,4,534,New Customers
406,106,6,5892.509999999999,1,3,3,133,Lost Customers
407,9,9,7837.83,5,5,4,554,Potential Loyalists
408,17,5,5252.97,4,2,2,422,Average Customers
409,13,4,3610.11,5,1,1,511,New Customers
410,6,7,5472.9,5,4,3,543,New Customers
411,187,5,5130.24,1,2,2,122,Lost Customers
412,27,3,3041.12,4,1,1,411,Average Customers
413,167,5,5306.63,1,2,2,122,Lost Customers
414,47,6,4770.45,3,3,2,332,Average Customers
415,248,2,3670.0,1,1,1,111,Lost Customers
416,88,5,4670.05,2,2,2,222,Lost Customers
417,70,8,9905.65,2,4,5,245, At Risk
418,28,6,6298.139999999999,4,3,3,433,Average Customers
419,14,7,7917.43,5,4,4,544,Potential Loyalists
420,59,10,11080.54,2,5,5,255,Loyal Customers
421,56,6,7222.93,3,3,4,334,Average Customers
422,133,4,5465.0,1,1,3,113,Lost Customers
423,141,5,5058.62,1,2,2,122,Lost Customers
424,74,7,9036.62,2,4,5,245, At Risk
425,25,7,10925.23,4,4,5,445,Potential Loyalists
426,59,9,10506.86,2,5,5,255,Loyal Customers
427,109,4,4678.55,1,1,2,112,Lost Customers
428,51,8,9009.45,3,4,5,345,Average Customers
429,18,8,8631.57,4,4,4,444,Potential Loyalists
430,65,6,7494.51,2,3,4,234,Lost Customers
431,98,2,3232.46,2,1,1,211,Lost Customers
432,21,8,9237.06,4,4,5,445,Potential Loyalists
433,15,9,10236.83,4,5,5,455,Loyal Customers
434,297,2,1945.46,1,1,1,111,Lost Customers
435,102,4,5669.1,1,1,3,113,Lost Customers
436,50,3,3374.59,3,1,1,311,Average Customers
437,48,6,5595.76,3,3,3,333,Average Customers
438,51,8,12777.29,3,4,5,345,Average Customers
439,99,6,6584.91,1,3,3,133,Lost Customers
440,11,8,7773.05,5,4,4,544,Potential Loyalists
441,62,3,2910.7200000000003,2,1,1,211,Lost Customers
442,13,7,5714.68,5,4,3,543,New Customers
443,4,7,7525.93,5,4,4,544,Potential Loyalists
444,45,7,7147.11,3,4,4,344,Average Customers
445,24,11,14593.220000000001,4,5,5,455,Loyal Customers
446,52,8,10683.11,3,4,5,345,Average Customers
447,0,6,6502.92,5,3,3,533,New Customers
448,188,5,6085.0599999999995,1,2,3,123,Lost Customers
449,133,6,6240.950000000001,1,3,3,133,Lost Customers
450,82,4,5369.55,2,1,3,213,Lost Customers
451,66,6,5925.52,2,3,3,233,Lost Customers
452,24,5,3872.4300000000003,4,2,2,422,Average Customers
453,41,8,6220.21,3,4,3,343,Average Customers
454,49,7,9662.82,3,4,5,345,Average Customers
455,67,3,4076.17,2,1,2,212,Lost Customers
456,88,5,6261.639999999999,2,2,3,223,Lost Customers
457,115,5,6553.5199999999995,1,2,3,123,Lost Customers
458,26,5,3615.63,4,2,1,421,Average Customers
459,38,5,6449.13,3,2,3,323,Average Customers
460,17,4,5012.97,4,1,2,412,Average Customers
461,20,8,10366.86,4,4,5,445,Potential Loyalists
462,142,6,7830.79,1,3,4,134,Lost Customers
463,59,7,7679.47,2,4,4,244, At Risk
464,9,6,8289.86,5,3,4,534,New Customers
465,4,6,4766.91,5,3,2,532,New Customers
466,40,7,6597.52,3,4,3,343,Average Customers
467,169,7,9085.53,1,4,5,145, At Risk
468,94,6,7264.86,2,3,4,234,Lost Customers
469,101,10,7566.66,1,5,4,154, At Risk
470,9,7,7158.48,5,4,4,544,Potential Loyalists
471,48,6,6243.62,3,3,3,333,Average Customers
472,49,5,5989.66,3,2,3,323,Average Customers
473,115,9,12033.62,1,5,5,155,Loyal Customers
474,97,2,2107.8199999999997,2,1,1,211,Lost Customers
475,24,7,5131.25,4,4,2,442,Average Customers
476,9,4,4416.9,5,1,2,512,New Customers
477,35,5,5899.43,3,2,3,323,Average Customers
478,3,9,8880.93,5,5,5,555,Champions
479,76,9,8781.24,2,5,5,255,Loyal Customers
480,17,2,3179.31,4,1,1,411,Average Customers
481,14,2,2156.44,5,1,1,511,New Customers
482,75,10,11870.130000000001,2,5,5,255,Loyal Customers
483,40,7,8372.11,3,4,4,344,Average Customers
484,19,5,5694.35,4,2,3,423,Average Customers
485,14,6,5662.3099999999995,5,3,3,533,New Customers
486,91,5,7323.58,2,2,4,224,Lost Customers
487,139,2,1875.15,1,1,1,111,Lost Customers
488,27,7,4859.099999999999,4,4,2,442,Average Customers
489,124,5,5450.6900000000005,1,2,3,123,Lost Customers
490,53,9,9886.75,3,5,5,355,Loyal Customers
491,68,7,6140.67,2,4,3,243,Lost Customers
492,89,4,5248.15,2,1,2,212,Lost Customers
493,75,3,607.78,2,1,1,211,Lost Customers
494,133,3,2524.5299999999997,1,1,1,111,Lost Customers
495,128,6,6120.139999999999,1,3,3,133,Lost Customers
496,45,4,3612.19,3,1,1,311,Average Customers
497,59,4,2772.15,2,1,1,211,Lost Customers
498,7,7,9834.95,5,4,5,545,Potential Loyalists
499,55,11,8960.43,3,5,5,355,Loyal Customers
500,24,8,9381.92,4,4,5,445,Potential Loyalists
501,128,4,3118.51,1,1,1,111,Lost Customers
502,131,5,4852.31,1,2,2,122,Lost Customers
503,83,4,3993.05,2,1,2,212,Lost Customers
504,136,8,7145.67,1,4,4,144, At Risk
505,14,5,6456.41,5,2,3,523,New Customers
506,56,10,14208.25,3,5,5,355,Loyal Customers
507,36,8,9146.18,3,4,5,345,Average Customers
508,155,6,7648.2,1,3,4,134,Lost Customers
509,89,6,6017.45,2,3,3,233,Lost Customers
510,59,2,3333.38,2,1,1,211,Lost Customers
511,11,5,4598.69,5,2,2,522,New Customers
512,95,4,4233.95,2,1,2,212,Lost Customers
513,14,5,5958.04,5,2,3,523,New Customers
514,123,5,7401.06,1,2,4,124,Lost Customers
515,14,9,12264.8,5,5,5,555,Champions
516,19,10,9021.7,4,5,5,455,Loyal Customers
517,10,6,5083.11,5,3,2,532,New Customers
518,261,3,3288.99,1,1,1,111,Lost Customers
519,55,4,4470.85,3,1,2,312,Average Customers
520,16,5,2566.04,4,2,1,421,Average Customers
521,154,2,1849.5700000000002,1,1,1,111,Lost Customers
522,41,4,3520.19,3,1,1,311,Average Customers
523,18,6,6485.21,4,3,3,433,Average Customers
524,138,7,6400.86,1,4,3,143,Lost Customers
525,119,8,10372.68,1,4,5,145, At Risk
526,154,3,2674.66,1,1,1,111,Lost Customers
527,43,2,2476.84,3,1,1,311,Average Customers
528,134,7,7737.110000000001,1,4,4,144, At Risk
529,12,6,6036.22,5,3,3,533,New Customers
530,162,3,2816.79,1,1,1,111,Lost Customers
531,61,6,5691.58,2,3,3,233,Lost Customers
532,28,6,7503.2699999999995,4,3,4,434,Average Customers
533,2,6,8210.1,5,3,4,534,New Customers
534,6,8,8223.81,5,4,4,544,Potential Loyalists
535,73,2,1679.29,2,1,1,211,Lost Customers
